freetype2 2.10.4-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
fuse-common 3.10.1-1
fuse2 2.9.9-4
fuse3 3.10.1-1
fwupd 1.5.5-1
fx_cast 0.1.0-1
game-devices-udev 0.10-2
ganttproject 2.8.11-2
gavl 1.4.0-4
gawk 5.1.0-1
gazebo 11.0.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-4
gcc-libs 10.2.0-4
gconf 3.2.6+11+g07808097-7
gcr 3.38.1-1
gd 2.3.0-1
gdb 10.1-4
gdb-common 10.1-4
gdbm 1.19-1
gdk-pixbuf2 2.42.2-1
gdl 3.34.0-2
gegl 0.4.26-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.21-1
ghc-libs 8.10.3-1
ghostscript 9.53.3-2
giflib 5.2.1-2
gimp 2.10.22-1
git 2.30.0-1
gitinspector 0.4.4-1
gl2ps 1.4.2-2
glew 2.2.0-2
glib-networking 2.66.0-1
glib2 2.66.4-2
glibc 2.32-5
glibmm 2.64.5-1
glslang 11.1.0-1
glu 9.0.1-2
gmic 2.9.4-1
gmp 6.2.1-1
gnome-desktop 1:3.38.3-1
gnome-icon-theme 3.12.0-6
gnome-icon-theme-symbolic 3.12.0-6
gnome-themes-extra 3.28-2
gnome-video-effects 0.5.0+4+g9554041-2
gnupg 2.2.26-1
gnustep-base 1.27.0-2
gnutls 3.7.0-1
go 2:1.15.6-1
gobject-introspection-runtime 1.66.1-3
google-chrome 87.0.4280.88-1
gparted 1.1.0-1
gperf 3.1-3
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.6-1
grantlee 5.2.0-3
grantleetheme 20.12.1-1
graphene 1.10.2-1
graphicsmagick 1.3.36-1
graphite 1:1.3.14-1
graphviz 2.44.1-6
grep 3.6-1
groff 1.22.4-3
grub 2.04-13
grub-theme-manjaro 20.2-12
gsettings-desktop-schemas 3.38.0-1
gsettings-qt 0.1.20170110-3
gsfonts 20200910-1
gsl 2.6-2
gsm 1.0.19-1
gssdp 1.2.3-1
gssproxy 0.8.4-1
gst-libav 1.18.3-1
gst-plugins-bad 1.18.3-1
gst-plugins-bad-libs 1.18.3-1
gst-plugins-base 1.18.3-1
gst-plugins-base-libs 1.18.3-1
gst-plugins-good 1.18.3-1
gst-plugins-ugly 1.18.3-1
gstreamer 1.18.3-1
gtest 1.10.0-3
gtk-theme-breath 5.9.0-1
gtk-update-icon-cache 1:4.0.1-2
gtk2 2.24.33-1
gtk3 1:3.24.24-2
gtkmm3 3.24.3-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
guile 2.2.6-2
guile2.0 2.0.14-4
gupnp 1.2.4-1
gupnp-igd 1.2.0-1
gutenprint 5.3.4-1
gvfs 1.46.2-1
gvfs-afc 1.46.2-1
gvfs-gphoto2 1.46.2-1
gvfs-mtp 1.46.2-1
gvfs-nfs 1.46.2-1
gvfs-smb 1.46.2-1
gwenview 20.12.1-1
gzip 1.10-3
hardcode-fixer 1:r543.0321910-1
harfbuzz 2.7.4-1
harfbuzz-icu 2.7.4-1
haskell-aeson 1.5.5.1-4
haskell-assoc 1.0.2-44
haskell-attoparsec 0.13.2.4-53
haskell-base-compat 0.11.2-3
haskell-base-compat-batteries 0.11.2-43
haskell-base-orphans 0.8.4-33
haskell-bifunctors 5.5.9-8
haskell-comonad 5.0.8-10
haskell-data-fix 0.3.0-44
haskell-diff 0.4.0-8
haskell-distributive 0.6.2.1-11
haskell-dlist 1.0-40
haskell-erf 2.0.0.0-20
haskell-hashable 1.3.0.0-69
haskell-indexed-traversable 0.1.1-2
haskell-integer-logarithms 1.0.3.1-2
haskell-primitive 0.7.1.0-62
haskell-quickcheck 2.14.2-62
haskell-random 1.2.0-108
haskell-regex-base 0.94.0.0-7
haskell-regex-tdfa 1.3.1.0-7
haskell-scientific 0.3.6.2-70
haskell-splitmix 0.1.0.3-38
haskell-strict 0.4.0.1-18
haskell-tagged 0.8.6.1-1
haskell-th-abstraction 0.4.2.0-1
haskell-these 1.1.1.1-45
haskell-time-compat 1.9.5-18
haskell-transformers-compat 0.6.6-2
haskell-unordered-containers 0.2.13.0-28
haskell-uuid-types 1.0.3-75
haskell-vector 0.12.1.2-103
hdf5 1.12.0-2
hdparm 9.58-3
headsetcontrol-git 2.3.r53.gef39a18-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hplip 1:3.20.11-2
hspell 1.4-3
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20200813.1-1
hwinfo 21.71-1
hwloc 2.4.0-1
hyphen 2.8.8-3
iana-etc 20201229-1
icu 68.2-1
ignition-cmake 2.6.1-1
ignition-common 3.9.0-1
ignition-fuel_tools 5.0.0-1
ignition-math 6.7.0-1
ignition-msgs 6.2.0-1
ignition-tools 1.0.0-2
ignition-transport 9.0.0-1
ijs 0.35-3
illyria-wallpaper 1.4-1
imagemagick 7.0.10.58-1
imlib2 1.7.1-1
inetutils 1.9.4-8
iniparser 4.1-3
inkscape 1.0.1-4
inxi 3.2.02.2-1
iproute2 5.10.0-2
ipset 7.10-1
iptables 1:1.8.6-1
iputils 20200821-1
iso-codes 4.5.0-1
iw 5.9-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.19-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 15.0.1.u9-1
jdk8-openjdk 8.u275-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
jq 1.6-4
jre-openjdk 15.0.1.u9-1
jre-openjdk-headless 15.0.1.u9-1
jre8-openjdk 8.u275-1
